player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
42516196,Nazuruddeen,10521995,Gully Blasters,1,0,0,0,0,0,0,0,0
42791589,Niyaz Jr,10521833,OX CC,1,0,0,0,0,0,0,0,0
50294956,Afsal Aks,10521995,Gully Blasters,2,0,0,0,0,0,0,0,0
42834143,Zaman,10521833,OX CC,2,0,0,0,0,0,0,0,0
11456739,Gopinath,10521833,OX CC,2,0,0,0,0,0,0,0,0
42314993,Sinan,10521833,OX CC,2,0,0,0,0,0,0,0,0
42791863,Md Saif,10521995,Gully Blasters,2,0,0,0,0,0,0,0,0
42402861,Sabith,10521995,Gully Blasters,2,0,0,0,0,0,0,0,0
50293455,Muzaffar,10521995,Gully Blasters,2,0,0,0,1,0,0,0,0
45134229,Althaf,10521995,Gully Blasters,3,0,0,0,0,0,0,0,0
45134282,Ajeez,10521833,OX CC,3,0,0,0,0,0,0,0,0
9403507,Ashwaq,10521995,Gully Blasters,3,0,0,0,0,0,0,0,0
45134283,Bilal,10521833,OX CC,3,0,0,0,0,0,0,0,0
45904413,Abiyaz Md,10521995,Gully Blasters,3,0,0,0,0,0,0,0,0
47362067,Vicky,10521995,Gully Blasters,3,0,0,0,0,0,0,0,0
42947960,Praveen,10521833,OX CC,3,0,0,0,0,0,0,0,0
42813038,Jeba,10521833,OX CC,3,0,0,0,0,0,0,0,0
41721477,Hashim Aadhi,10521833,OX CC,3,0,0,0,0,0,0,0,0
9455798,Moulana,10521995,Gully Blasters,3,0,0,0,0,0,0,0,0
9419259,Imthiyas,10521833,OX CC,3,0,0,0,0,0,0,0,0
41803927,Mohammed Irfan,10521833,OX CC,5,0,0,0,0,0,0,0,0
33057372,Shameel,10521833,OX CC,5,0,0,0,0,0,0,0,0
14542156,Niyaz,10521995,Gully Blasters,5,0,0,0,0,0,0,0,0
51025446,Sainul Habid,10521833,OX CC,5,0,0,0,0,0,0,0,0
41721476,Anas Jr,10521833,OX CC,6,0,0,0,0,0,0,0,0
45134281,Aslam,10521833,OX CC,8,0,0,0,0,0,0,0,0
42402540,Sabith Zakan,10521833,OX CC,8,0,0,0,0,0,0,0,0
44729204,Mufeedh,10521995,Gully Blasters,9,0,0,0,0,0,0,0,0
