player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
33133780,Mohammed Razee,10521833,OX CC,61,25,2,10,1,1,1,28,39
41692426,Bava Kvs,10521995,Gully Blasters,66,10,15,6,11,6,0,25,37
13346088,Azhar Marmu,10521995,Gully Blasters,77,15,9,8,5,1,2,26,35
33111878,Moniz Babs,10521833,OX CC,62,14,2,9,0,1,6,22,32
41721387,Md Zabeer,10521833,OX CC,54,5,16,9,2,0,1,22,31
33116935,Mansoor Vk,10521995,Gully Blasters,66,12,5,12,1,0,1,18,30
41972628,Shanu,10521995,Gully Blasters,41,4,14,5,1,0,0,18,23
41692561,Munaf Cpm,10521995,Gully Blasters,39,7,7,6,2,1,1,15,22
16531079,Jawad A,10521833,OX CC,41,7,6,8,1,0,1,14,22
33112269,Mohammed Ali Mc,10521995,Gully Blasters,53,11,4,5,2,0,1,16,21
32601476,M S Rusfi,10521833,OX CC,42,8,2,9,0,0,1,11,20
27379139,Faizal,10521833,OX CC,49,6,7,5,2,1,1,14,20
30938839,Gokul Nithesh,10521995,Gully Blasters,51,8,0,9,2,0,1,9,18
27519438,Anas,10521833,OX CC,71,5,0,6,0,0,4,9,15
39134242,Nithish,10521995,Gully Blasters,38,7,3,3,6,0,1,11,14
31091273,Abishek K,10521995,Gully Blasters,44,6,0,7,1,0,1,7,14
41754509,Afzal Afu,10521833,OX CC,58,5,0,7,0,0,2,7,14
41828992,Siraj,10521833,OX CC,72,4,0,9,0,0,0,4,13
41938068,Ac Yousuf,10521995,Gully Blasters,38,5,2,5,2,0,0,7,12
41692707,Mashood A C,10521995,Gully Blasters,39,5,0,6,0,0,0,5,11
33112864,Irshad Ali,10521833,OX CC,53,6,0,5,0,0,0,6,11
41972640,Farziii,10521833,OX CC,16,3,0,4,0,0,3,6,10
3456038,Aslam Hashim,10521995,Gully Blasters,15,2,3,2,0,0,0,5,7
41920317,Arul Bv,10521833,OX CC,23,3,0,2,0,0,0,3,5
41721426,Raheem,10521833,OX CC,24,1,0,3,0,0,1,2,5
41692880,Nowfal,10521995,Gully Blasters,36,3,0,2,2,0,0,3,5
41721419,Jazeer,10521833,OX CC,40,3,0,2,0,0,0,3,5
9419207,Syed Molana,10521995,Gully Blasters,6,0,0,3,0,1,0,0,4
41721305,Siddique Sidu,10521833,OX CC,8,2,0,1,0,0,1,3,4
41938110,Hafeez,10521833,OX CC,9,2,0,2,0,0,0,2,4
41744035,Mohammad Hamza,10521995,Gully Blasters,39,0,0,4,0,0,0,0,4
42610850,Mohammed Ishak,10521995,Gully Blasters,3,2,0,1,1,0,0,2,3
45786273,Arif Pvh,10521833,OX CC,3,3,0,0,0,0,0,3,3
41938108,Muthu,10521833,OX CC,15,1,0,1,0,0,1,2,3
17194184,James J,10521995,Gully Blasters,2,1,0,1,0,0,0,1,2
41989291,yousuf ka 3star,10521833,OX CC,2,0,1,1,0,0,0,1,2
41938062,Sam Nathaniel,10521995,Gully Blasters,3,0,2,0,0,0,0,2,2
33813344,Mohammed Rahoof,10521833,OX CC,5,1,1,0,0,0,0,2,2
50293457,Rayan,10521995,Gully Blasters,2,0,0,1,0,0,0,0,1
31684308,Mohammed Riyaz,10521995,Gully Blasters,2,0,0,1,0,0,0,0,1
42080118,Azharudeen Shaik,10521995,Gully Blasters,2,0,0,1,0,0,0,0,1
9419293,Mubarak,10521995,Gully Blasters,2,1,0,0,0,0,0,1,1
42510845,Vellore Ibrahim,10521833,OX CC,2,0,0,1,0,0,0,0,1
34553625,Imtiyaz,10521833,OX CC,3,0,0,1,0,0,0,0,1
45134231,Yousuf Abd,10521995,Gully Blasters,3,0,0,1,0,0,0,0,1
41938137,Shamil,10521833,OX CC,3,1,0,0,0,0,0,1,1
45134232,Mujeebh,10521995,Gully Blasters,3,1,0,0,0,0,0,1,1
21879177,Mohammed Rafi,10521833,OX CC,5,1,0,0,0,0,0,1,1
9419267,Nasir Thala,10521995,Gully Blasters,7,1,0,0,0,0,0,1,1
42206747,Aasif,10521833,OX CC,10,1,0,0,0,0,0,1,1
41754588,Fazil Farook,10521833,OX CC,13,1,0,0,0,0,0,1,1
33112173,Syed Shibli,10521995,Gully Blasters,25,1,0,0,1,0,0,1,1
41972623,Ajith Kumar,10521995,Gully Blasters,1,0,0,0,0,0,0,0,0
